Place of Interest|tipo_centro|Place address|BiciMAD Station|Station Location|dock_bikes
Centro Cultural la Elipa (Ciudad Lineal)|Centros Culturales|CALLE SANTA FELICIDAD 39|Marqués de Corbera 52|Avenida Marqués de Corbera nº 52|14
Centro Integrado Santiago Apóstol (Hortaleza)|Centros Culturales|CALLE CARRION DE LOS CONDES 73|Pío XII|Avenida Pío XII nº 3|11
Centro Juvenil Carabanchel Alto|Centros Culturales|CALLE ALFONSO FERNANDEZ 23|Marqués de Vadillo|Glorieta Marqués de Vadillo nº 9|12
Centro Juvenil El Aleph (Villa de Vallecas)|Centros Culturales|CALLE ZAZUAR 1 C/V. Avda. Mediterráneo|Pavones|Calle Hacienda de Pavones nº 342|8
Centro Juvenil El Pardo|Centros Culturales|AVENIDA PADRE CIPRIANO 11|Facultad Derecho|Avenida Complutense nº 23|5
Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas)|Centros Culturales|CALLE REAL DE ARGANDA 39|Pavones|Calle Hacienda de Pavones nº 342|8
Centro Juvenil Hontalbilla (Fuencarral - El Pardo)|Centros Culturales|CALLE HONTALBILLA 10|Pedro Rico|Calle Pedro Rico nº 4|13
Centro Juvenil Tetuán Punto Joven|Centros Culturales|CALLE DULCINEA 4 Acceso por Raimundo Fdez. Villaverde, 35|Raimundo Fernández|Calle Raimundo Fernández Villaverde nº 33|9
Centro Juvenil de Usera|Centros Culturales|CALLE CUESTA 4|San Delfín|Calle San Delfín nº 9|17
Centro Social Polivalente de Vicálvaro|Centros Culturales|AVENIDA REAL 12|Pavones|Calle Hacienda de Pavones nº 342|8
Centro Sociocultural  Siena (Ciudad Lineal)|Centros Culturales|CALLE SIENA 52|José María Pereda|Calle José María de Pereda nº 1|11
Centro Sociocultural Agustín Díaz (Moncloa - Aravaca)|Centros Culturales|PASEO COMANDANTE FORTEA 42|Paseo de Moret|Paseo de Moret nº 11|13
Centro Sociocultural Alberto Sánchez (Puente de Vallecas)|Centros Culturales|CALLE RISCO DE PELOCHE 14|Sierra Toledana|Camino de Valderribas nº 94|10
Centro Sociocultural Alfonso XII (Fuencarral - El Pardo)|Centros Culturales|CALLE MIRA EL RIO 4|Facultad Derecho|Avenida Complutense nº 23|5
Centro Sociocultural Almirante Churruca (Latina)|Centros Culturales|CALLE FUENTE DEL TIRO 72|Caramuel|Calle Caramuel nº 51|14
Centro Sociocultural Aravaca (Moncloa - Aravaca)|Centros Culturales|CALLE DE LA ZARZA 20|Facultad Derecho|Avenida Complutense nº 23|5
Centro Sociocultural Aula de Aire Libre (Puente de Vallecas)|Centros Culturales|CALLE SIERRA CARBONERA 74|Concordia|Calle Arroyo del Olivar nº 6|6
Centro Sociocultural Blasco Ibáñez (Carabanchel)|Centros Culturales|CALLE SOLDADO JOSE MARIA REY 44|Ermita Santo|Paseo de la Ermita del Santo nº 48|13
Centro Sociocultural Bohemios (Villaverde)|Centros Culturales|CALLE LOS BOHEMIOS 1|Embajadores 191|Calle Sodio nº 1B|6
Centro Sociocultural Ciudad Lineal|Centros Culturales|CALLE POETA BLAS DE OTERO 81|Marqués de Corbera 52|Avenida Marqués de Corbera nº 52|14
Centro Sociocultural Clara Campoamor (Retiro)|Centros Culturales|PLAZA DAOIZ Y VELARDE 2 PLANTA 1ª|Junta Municipal Retiro|Calle León Gil de Palacio nº 3|5
Centro Sociocultural Clara del Rey (Centro)|Centros Culturales|CALLE RIBERA DE CURTIDORES 2 PLANTA 1ª|Plaza de la Cebada|Plaza de la Cebada nº 16 |25
Centro Sociocultural Cánovas del Castillo (Usera)|Centros Culturales|CALLE JULIO AGUIRRE 10 y 12|Glorieta de Cádiz|Calle Antonio López nº 129|7
Centro Sociocultural Eduardo Chillida (Moratalaz)|Centros Culturales|CALLE ARROYO BELINCOSO 9|Plaza del Encuentro|Calle Arroyo de las Pilillas nº 6|12
Centro Sociocultural El Greco (Latina)|Centros Culturales|CALLE EL GRECO 29|Caramuel|Calle Caramuel nº 51|14
Centro Sociocultural García Lorca (Carabanchel)|Centros Culturales|CALLE EUGENIA DE MONTIJO 105|Caramuel|Calle Caramuel nº 51|14
Centro Sociocultural José de Espronceda (Tetuán)|Centros Culturales|CALLE ALMANSA 9|Cuatro Caminos 2|Calle Doctor Santero nº 1|2
Centro Sociocultural Las Tablas (Fuencarral - El Pardo)|Centros Culturales|AVENIDA CAMINO DE SANTIAGO 39|Manuel Caldeiro|Paseo de la Castellana nº 298|16
Centro Sociocultural Latina|Centros Culturales|CALLE RODRIGO DE ARANA 50|Caramuel|Calle Caramuel nº 51|14
Centro Sociocultural Lavapiés (Centro)|Centros Culturales|CALLE OLIVAR 46|Jesús y María|Calle Lavapiés nº 34|13
Centro Sociocultural Luis Gonzaga (Chamartín)|Centros Culturales|CALLE PRINCIPE DE VERGARA 142|María Francisca 1|Calle María Francisca nº 1|2
Centro Sociocultural Maestro Alonso (Salamanca)|Centros Culturales|CALLE MAESTRO ALONSO 6|Alcalá-Ventas|Calle Alejandro González nº 1|9
Centro Sociocultural Marconi (Villaverde)|Centros Culturales|ACCESO COLONIA MARCONI 4 calle Eustaquio 25 (frente a fachada)|Glorieta de Cádiz|Calle Antonio López nº 129|7
Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas)|Centros Culturales|CALLE ALIAGA 5|Gutierre de Cetina|Calle Gutierre de Cetina nº 77|18
Centro Sociocultural Montecarmelo (Fuencarral - El Pardo)|Centros Culturales|Avenida Santuario de Valverde 114 Carretera M-607 km 13-L10. Acceso a través del PAU Montecarmelo|Pedro Rico|Calle Pedro Rico nº 4|13
Centro Sociocultural Oporto (Carabanchel)|Centros Culturales|AVENIDA OPORTO 78|Marqués de Vadillo|Glorieta Marqués de Vadillo nº 9|12
